DATAFLOW,LAST UPDATE,freq,indic_em,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DE,2017,74.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DE,2020,74.4,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DE,2023,77.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DK,2014,71.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DK,2017,73.2,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DK,2020,74.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,DK,2023,77.0,b
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EA20,2014,62.5,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EA20,2017,65.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EA20,2020,66.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EA20,2023,69.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EE,2014,71.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EE,2017,76.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EE,2020,76.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EE,2023,80.9,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EL,2014,43.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EL,2017,47.4,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EL,2020,48.7,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EL,2023,57.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,ES,2014,54.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,ES,2017,59.6,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,ES,2020,60.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,ES,2023,65.4,d
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EU27_2020,2014,62.0,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EU27_2020,2017,65.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EU27_2020,2020,66.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,EU27_2020,2023,70.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,FI,2014,71.2,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,FI,2017,71.3,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,FI,2020,73.8,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,FI,2023,78.1,
ESTAT:LFSI_EMP_A(1.0),02/05/24 23:00:00,A,EMP_LFS,F,Y20-64,PC_POP,FR,2014,67.0,
